K,Alpha,Beta,Avg Coherence,Min Coherence,Max Coherence
10,0.1,0.1,-361.8079,-478.5620,-272.3575
10,0.01,0.01,-354.8356,-422.5547,-276.1893
50,0.1,0.1,-382.9778,-537.6922,-191.7424
50,0.01,0.01,-386.3661,-523.9079,-218.5174
